round,client_id,loss,accuracy
1,9501896341409924635,0.05503793931007385,0.382
1,17029264157002909349,0.055676506996154784,0.396
1,18052381097793717183,0.05553641510009766,0.346
1,11268980266009123290,0.05707529091835022,0.332
1,2196914178460525579,0.05935207486152649,0.312
2,11420538246170078503,0.051309526681900024,0.392
2,2196914178460525579,0.05506271028518677,0.366
2,18016221664669455193,0.05392819905281067,0.39
2,886217631941763556,0.053567004203796384,0.398
2,4201594596932992505,0.054121173620224,0.372
3,3075431116725170752,0.0514190833568573,0.412
3,17029264157002909349,0.0525444712638855,0.448
3,9501896341409924635,0.04856315875053406,0.458
3,14514209953958106043,0.05005600333213806,0.414
3,11420538246170078503,0.05107182717323303,0.432
4,9501896341409924635,0.04879902791976929,0.472
4,4446900465490710035,0.04775500082969666,0.498
4,12489046526914971293,0.05160529971122742,0.434
4,18016221664669455193,0.048885338068008426,0.454
4,72425074856272151,0.05088217091560364,0.448
5,17029264157002909349,0.05486203765869141,0.452
5,457128222049183924,0.045878533840179446,0.512
5,18052381097793717183,0.044592707872390745,0.488
5,4446900465490710035,0.050877663612365724,0.476
5,2196914178460525579,0.05292384815216065,0.432
